category,name,storageDays,storageDesc,storageMethod
기타,두부,7,"5~7일","물에 담가 밀폐용기에 넣어 냉장 보관. 매일 물을 갈아주면 더 오래 보관 가능합니다."
야채,콩나물,5,"3~5일","씻지 않은 상태로 물기를 제거하고 밀폐용기에 담아 냉장 보관하세요. 빛을 차단하면 더 신선하게 유지됩니다."
야채,숙주나물,4,"2~4일","콩나물보다 쉽게 무르므로, 씻지 않고 밀폐용기에 담아 냉장 보관 후 가급적 빨리 소비하세요."
야채,고구마,30,"2~4주","10~15°C의 서늘하고 어두운 곳에 신문지로 감싸 보관하세요. (냉장 보관 시 맛이 변질될 수 있습니다)"
야채,감자,30,"2~4주","빛이 없는 서늘하고 통풍이 잘 되는 곳에 보관하세요. 사과와 함께 두면 싹 나는 것을 억제합니다. (냉장 보관 금지)"
야채,양파,60,"1~2개월","껍질째 망에 넣어 건조하고 서늘한 곳에 보관하세요. 깐 양파는 밀폐용기에 담아 냉장 보관합니다."
야채,마늘,60,"1~2개월","통마늘은 망에 넣어 서늘하고 건조한 곳에 보관하고, 깐 마늘이나 다진 마늘은 냉장 또는 냉동 보관하세요."
야채,파,14,"1~2주","뿌리 부분을 젖은 키친타월로 감싸 세워서 냉장 보관하세요. 장기 보관 시 용도에 맞게 썰어서 냉동 보관합니다."
야채,생강,21,"2~3주","흙이 묻은 채로 신문지에 싸서 서늘한 곳에 두거나, 껍질을 벗겨 다지거나 편으로 썰어 냉동 보관하세요."
야채,오이,7,"5~7일","키친타월로 하나씩 감싸 비닐 팩에 넣어 세워서 냉장 보관하세요. 물기 제거가 중요합니다."
야채,가지,7,"5~7일","저온에 약하므로 신문지에 싸서 서늘한 실온에 보관하고, 오래 보관할 경우에만 냉장 보관하세요."
야채,호박,7,"5~7일","(애호박 기준) 키친타월이나 신문지로 감싸 냉장 보관하고, 자른 단면은 랩으로 밀봉하세요."
야채,옥수수,3,"2~3일","껍질째 비닐 팩에 넣어 냉장 보관하세요. 시간이 지날수록 당도가 떨어지므로 빨리 소비하거나 쪄서 냉동 보관합니다."
야채,상추,7,"5~7일","씻지 않은 상태로 키친타월에 감싸 비닐 팩에 넣어 세워서 냉장 보관하면 더 신선합니다."
야채,깻잎,7,"5~7일","물기를 제거하고 키친타월에 감싸 밀폐용기에 넣어 냉장 보관하세요."
야채,쌈채소,5,"3~5일","상추와 유사하게 보관하되, 여러 종류가 섞여 있어 더 빨리 시들 수 있으니 가급적 빨리 소비하세요."
야채,고추,14,"1~2주","물기 없이 키친타월에 감싸 밀폐용기나 비닐 팩에 넣어 냉장 보관하세요."
야채,피망,10,"7~10일","낱개로 키친타월에 감싸 비닐 팩에 넣어 냉장 보관하세요. 꼭지 부분이 마르지 않게 유지하는 것이 좋습니다."
야채,파프리카,10,"7~10일","낱개로 키친타월에 감싸 비닐 팩에 넣어 냉장 보관하세요. 꼭지 부분이 마르지 않게 유지하는 것이 좋습니다."
야채,시금치,5,"3~5일","흙이 묻은 채로 젖은 신문지에 감싸 뿌리가 아래로 가도록 세워서 냉장 보관하세요."
야채,부추,7,"5~7일","씻지 않고 신문지에 싸서 냉장 보관하세요. 물기가 닿으면 쉽게 무르므로 주의해야 합니다."
야채,나물,4,"2~4일","(일반적인 나물류) 시금치/부추와 유사하게 보관하며, 데쳐서 냉장/냉동하면 더 오래 보관 가능합니다."
야채,양배추,21,"2~3주","사용한 만큼 잘라내고 남은 부분은 랩으로 완전히 감싸 냉장 보관하세요. 심지를 제거하면 더 오래 보관할 수 있습니다."
야채,양상추,10,"7~10일","겉잎을 떼지 않고 랩으로 감싸거나 비닐 팩에 넣어 냉장 보관하세요."
야채,브로콜리,7,"5~7일","살짝 데쳐서 물기를 제거한 후 밀폐용기에 담아 냉장/냉동 보관하거나, 생으로 보관 시 물에 적신 키친타월로 감싸 냉장 보관합니다."
야채,당근,21,"2~3주","흙이 묻은 채로 키친타월에 감싸 냉장 보관하고, 씻었다면 물기를 완전히 말린 후 보관하세요."
야채,우엉,14,"1~2주","흙이 묻은 채로 신문지에 싸서 서늘한 곳이나 냉장 보관하세요."
야채,연근,10,"7~10일","흙이 묻은 채로 신문지에 싸서 냉장 보관하고, 껍질을 벗겼다면 식초물에 담가 냉장 보관합니다."
야채,마,21,"2~3주","흙이 묻은 채로 신문지에 싸서 서늘하고 어두운 곳에 보관하세요. 자른 단면은 랩으로 감싸 냉장 보관합니다."
야채,버섯,7,"5~7일","습기에 약하므로 키친타월에 감싸거나 종이봉투에 넣어 씻지 않고 냉장 보관하세요."
야채,배추,14,"1~2주","신문지로 전체를 감싸 뿌리가 아래로 가도록 세워서 서늘한 곳이나 냉장 보관하세요."
야채,무,14,"1~2주","잎(무청)은 영양분을 뺏어가므로 잘라내고, 신문지에 싸서 냉장 보관하세요."
야채,아스파라거스,5,"3~5일","밑동을 살짝 잘라낸 후 젖은 키친타월로 감싸 비닐 팩에 넣어 세워서 냉장 보관하세요."
기타,인삼,14,"1~2주","이끼나 젖은 신문지에 싸서 비닐 팩에 넣어 냉장 보관하세요."
야채,더덕,14,"1~2주","흙이 묻은 채로 신문지에 싸서 서늘한 곳이나 냉장 보관하세요."
과일,사과,21,"1~3주","다른 과일/채소와 분리하여 비닐 팩에 넣어 냉장 보관하세요. (에틸렌 가스 방출)"
과일,배,10,"7~10일","신문지에 감싸 비닐 팩에 넣어 냉장 보관하세요."
과일,감귤,14,"1~2주","겹치지 않게 서늘한 실온에 두거나, 옅은 소금물에 헹궈 물기를 말린 후 냉장 보관하세요."
과일,만감류,14,"1~2주","(한라봉, 천혜향 등) 감귤과 동일하게 보관하세요."
과일,수박,7,"통째로 1주, 자른 후 3~5일","통 수박은 서늘한 실온에 보관하고, 자른 후에는 단면을 랩으로 밀봉하여 반드시 냉장 보관하세요."
과일,멜론,5,"후숙 후 3~5일","꼭지 반대편을 눌러 부드러워질 때까지 실온 후숙 후, 랩으로 싸서 냉장 보관하세요."
과일,참외,7,"5~7일","키친타월이나 신문지에 싸서 비닐 팩에 넣어 냉장 보관하세요."
과일,토마토,10,"5~10일","꼭지를 아래로 향하게 하여 실온 보관하세요. 완숙 후에는 냉장 보관이 가능합니다."
과일,딸기,4,"2~4일","꼭지를 떼지 않고 씻지 않은 상태로 겹치지 않게 밀폐용기에 담아 냉장 보관하세요."
과일,키위,28,"후숙 후 2~4주","단단하면 실온에서 후숙시키고, 익은 후에는 냉장 보관하세요."
과일,블루베리,10,"7~10일","씻지 않은 상태로 밀폐용기에 담아 냉장 보관하고, 먹기 직전에 씻으세요."
